67	9	0
6	0	1
10	0	2
10	-1	3
18	-2	4
22	-2	5
28	-3	6
32	-2	7
34	-3	8
36	-3	9
50	-4	10
62	-1	11
76	0	12
11	-2	13
23	-4	14
35	-4	15
37	-1	16
39	-2	17
43	0	18
45	-3	19
69	0	20
75	-1	21
77	-4	22
9	-3	23
11	-3	24
14	-4	25
14	-2	26
12	0	27
18	-1	28
19	-3	29
21	-3	30
25	-2	31
38	-2	32
40	0	33
42	-4	34
55	-2	35
56	-3	36
62	-5	37
63	-4	38
67	-2	39
69	-2	40
73	-2	41
78	-4	42
78	1	43
78	3	44
81	-4	45
81	1	46
81	3	47
83	-4	48
83	1	49
83	3	50
86	-4	51
86	1	52
86	3	53
86	-4	54
86	1	55
86	3	56
81	3	57
0	8	58
1	8	59
1	8	60
2	8	61
2	8	62
3	8	63
3	8	64
4	8	65
4	8	66
5	8	67
5	8	68
6	8	69
6	8	70
7	8	71
7	8	72
8	8	73
8	8	74
9	8	75
9	8	76
10	8	77
10	8	78
11	8	79
11	8	80
12	8	81
12	8	82
13	8	83
13	8	84
13	8	85
14	8	86
14	8	87
15	8	88
15	8	89
16	8	90
16	8	91
17	8	92
17	8	93
18	8	94
18	8	95
19	8	96
19	8	97
20	8	98
0	9	99
1	9	100
1	9	101
2	9	102
2	9	103
3	9	104
3	9	105
4	9	106
4	9	107
5	9	108
5	9	109
6	9	110
6	9	111
7	9	112
7	9	113
8	9	114
8	9	115
9	9	116
9	9	117
10	9	118
10	9	119
11	9	120
11	9	121
12	9	122
12	9	123
13	9	124
13	9	125
14	9	126
14	9	127
15	9	128
15	9	129
16	9	130
16	9	131
17	9	132
17	9	133
18	9	134
18	9	135
19	9	136
19	9	137
20	9	138
20	9	139
20	8	140
21	8	141
21	8	142
22	8	143
22	8	144
23	8	145
23	8	146
24	8	147
24	8	148
25	8	149
25	8	150
26	8	151
26	8	152
27	8	153
27	8	154
28	8	155
28	8	156
29	8	157
29	8	158
30	8	159
30	8	160
31	8	161
31	8	162
32	8	163
32	8	164
33	8	165
33	8	166
34	8	167
34	8	168
35	8	169
20	8	170
21	8	171
21	8	172
22	8	173
22	8	174
23	8	175
23	8	176
24	8	177
24	8	178
25	8	179
25	8	180
26	8	181
26	8	182
27	8	183
27	8	184
28	8	185
28	8	186
29	8	187
29	8	188
30	8	189
30	8	190
31	8	191
31	8	192
32	8	193
32	8	194
33	8	195
33	8	196
34	8	197
34	8	198
35	8	199
20	9	200
21	9	201
21	9	202
22	9	203
22	9	204
23	9	205
23	9	206
24	9	207
24	9	208
25	9	209
24	9	210
25	9	211
25	9	212
26	9	213
26	9	214
27	9	215
27	9	216
28	9	217
